Years;Total Arrivals;Arrived within Country;Arrived within Region;Arrived from other Regions;Arrived from other Countries;Total Leaving;Leaving within Country;Leaving within Region;Leaving to other Regions;Leaving to other Countries;Total Migration Growth;Movements within Country;Movements within Regions;Movements between Regions;Migration Exchange with Foreign Countries
1990;1801941;1457542;891431;566111;344399;1707847;1498052;990158;507894;209795;94094;-40510;-98727;58217;134604
1991;1586562;1325169;810751;514418;261393;1421490;1239968;830489;409479;181522;165072;85201;-19738;104939;79871
1992;1571948;1199647;723857;475790;372301;1172489;998786;645275;353511;173703;399459;200861;78582;122279;198598
1993;1363223;1005535;585082;420453;357688;1117874;985545;611258;374287;132329;245349;19990;-26176;46166;225359
1994;1355335;937220;541481;395739;418115;1097016;1002876;643628;359248;94140;258319;-65656;-102147;36491;323975
1995;1274892;973371;580651;392720;301521;1140799;1039293;683092;356201;101506;134093;-65922;-102441;36519;200015
1996;1101341;876956;542242;334714;224385;1020872;938855;628438;310417;82017;80469;-61899;-86196;24297;142368
1997;1057904;834410;519610;314800;223494;990047;926001;599208;326793;64046;67857;-91591;-79598;-11993;159448
1998;999657;807913;506974;300939;191744;944053;880095;574606;305489;63958;55604;-72182;-67632;-4550;127786
1999;955740;820399;513471;306928;135341;891089;828973;539134;289839;62116;64651;-8574;-25663;17089;73225
2000;856195;732706;464439;268267;123489;845632;801410;522775;278635;44222;10563;-68704;-58336;-10368;79267
2001;718881;664142;427941;236201;54739;792570;755159;496590;258569;37411;-73689;-91017;-68649;-22368;17328
2002;682754;630794;406094;224700;51960;729910;696499;456948;239551;33411;-47156;-65705;-50854;-14851;18549
2003;684881;645555;416048;229507;39326;734165;703445;461721;241724;30720;-49284;-57890;-45673;-12217;8606
2004;670676;634283;417394;216889;36393;716356;690223;458782;231441;26133;-45680;-55940;-41388;-14552;10260
2005;671958;620687;411511;209176;51271;698834;676534;448904;227630;22300;-26876;-55847;-37393;-18454;28971
2006;670191;616592;404200;212392;53599;704044;688731;454888;233843;15313;-33853;-72139;-50688;-21451;38286
2007;740155;656584;430879;225705;83571;747941;735522;486875;248647;12419;-7786;-78938;-55996;-22942;71152
2008;691965;609093;391775;217318;82872;719115;709601;461665;247936;9514;-27150;-100508;-69890;-30618;73358
2009;631378;546582;353573;193009;84796;635221;628186;404885;223301;7035;-3843;-81604;-51312;-30292;77761
2010;609457;557022;360136;196886;52435;705468;698352;453215;245137;7116;-96011;-141330;-93079;-48251;45319
2011;1024493;936788;633376;303412;87705;1175011;1167786;789211;378575;7225;-150518;-230998;-155835;-75163;80480
2012;1226588;1133849;749444;384405;92739;1393219;1369091;908600;460491;24128;-166631;-235242;-159156;-76086;68611
2013;1282676;1181653;770958;410695;101023;1459827;1426685;944861;481824;33142;-177151;-245032;-173903;-71129;67881
2014;1314378;1190541;752909;437632;123837;1448072;1393261;912821;480440;54811;-133694;-202720;-159912;-42808;69026
2015;1369013;1235172;783657;451515;133841;1416548;1354837;872710;482127;61711;-47535;-119665;-89053;-30612;72130
2016;1354716;1233546;772293;461253;121170;1391178;1331466;853983;477483;59712;-36462;-97920;-81690;-16230;61458
2017;1342039;1220603;746169;474434;121436;1389335;1318489;836280;482209;70846;-47296;-97886;-90111;-7775;50590
2018;1381162;1267767;763737;504030;113395;1450631;1369034;866185;502849;81597;-69469;-101267;-102448;1181;31798
2019;1353086;1207039;743869;463170;146047;1342996;1269076;827055;442021;73920;10090;-62037;-83186;21149;72127
2020;1171012;1046811;646241;400570;124201;1173963;1085569;700184;385385;88394;-2951;-38758;-53943;15185;35807
2021;1227623;1089874;683096;406778;137749;1192921;1145992;755093;390899;46929;34702;-56118;-71997;15879;90820